,precision,recall,f1-score,support
Apple___Apple_scab,0.975669099756691,0.7956349206349206,0.8765027322404372,504.0
Apple___Black_rot,0.9477911646586346,0.9496981891348089,0.9487437185929648,497.0
Apple___Cedar_apple_rust,0.9927536231884058,0.9340909090909091,0.9625292740046838,440.0
Apple___healthy,0.988009592326139,0.8207171314741036,0.8966267682263329,502.0
Blueberry___healthy,0.9483146067415731,0.9295154185022027,0.9388209121245829,454.0
Cherry_(including_sour)___Powdery_mildew,0.9649532710280374,0.9809976247030879,0.9729093050647821,421.0
Cherry_(including_sour)___healthy,0.9837209302325581,0.9276315789473685,0.9548532731376975,456.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.8853211009174312,0.9414634146341463,0.9125295508274232,410.0
Corn_(maize)___Common_rust_,1.0,0.9748427672955975,0.9872611464968153,477.0
Corn_(maize)___Northern_Leaf_Blight,0.9757709251101322,0.9287211740041929,0.9516648764769066,477.0
Corn_(maize)___healthy,0.9978354978354979,0.9913978494623656,0.9946062567421791,465.0
Grape___Black_rot,0.9840909090909091,0.9173728813559322,0.9495614035087719,472.0
Grape___Esca_(Black_Measles),0.9343936381709742,0.9791666666666666,0.9562563580874873,480.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,0.9767441860465116,0.9882352941176471,430.0
Grape___healthy,1.0,0.7683215130023641,0.8689839572192514,423.0
Orange___Haunglongbing_(Citrus_greening),0.9959677419354839,0.9821073558648111,0.988988988988989,503.0
Peach___Bacterial_spot,0.9837587006960556,0.9237472766884531,0.952808988764045,459.0
Peach___healthy,0.9975728155339806,0.9513888888888888,0.9739336492890995,432.0
"Pepper,_bell___Bacterial_spot",0.936,0.9790794979079498,0.9570552147239264,478.0
"Pepper,_bell___healthy",0.9101123595505618,0.9778672032193159,0.9427740058195926,497.0
Potato___Early_blight,0.9855670103092784,0.9855670103092784,0.9855670103092784,485.0
Potato___Late_blight,0.9151873767258383,0.9567010309278351,0.9354838709677419,485.0
Potato___healthy,0.8277777777777777,0.9802631578947368,0.8975903614457831,456.0
Raspberry___healthy,0.9477124183006536,0.9775280898876404,0.9623893805309734,445.0
Soybean___healthy,0.9369918699186992,0.9128712871287129,0.9247743229689067,505.0
Squash___Powdery_mildew,0.9859154929577465,0.967741935483871,0.9767441860465116,434.0
Strawberry___Leaf_scorch,0.9776785714285714,0.9864864864864865,0.9820627802690582,444.0
Strawberry___healthy,0.967391304347826,0.9758771929824561,0.9716157205240175,456.0
Tomato___Bacterial_spot,0.9843342036553525,0.8870588235294118,0.9331683168316832,425.0
Tomato___Early_blight,0.7237048665620094,0.9604166666666667,0.8254252461951657,480.0
Tomato___Late_blight,0.9383259911894273,0.9200863930885529,0.9291166848418757,463.0
Tomato___Leaf_Mold,0.9203187250996016,0.9829787234042553,0.9506172839506173,470.0
Tomato___Septoria_leaf_spot,0.9172749391727494,0.8646788990825688,0.8902007083825265,436.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9318801089918256,0.7862068965517242,0.8528678304239401,435.0
Tomato___Target_Spot,0.7689530685920578,0.9321663019693655,0.8427299703264095,457.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9658634538152611,0.9816326530612245,0.9736842105263158,490.0
Tomato___Tomato_mosaic_virus,0.8715953307392996,1.0,0.9313929313929314,448.0
Tomato___healthy,0.9299610894941635,0.9937629937629938,0.9608040201005025,481.0
accuracy,0.939335306168905,0.939335306168905,0.939335306168905,0.939335306168905
macro avg,0.9446965677855578,0.9390139734142731,0.9395231713286275,17572.0
weighted avg,0.944536579963059,0.939335306168905,0.9396053801566737,17572.0
